name_entity,label
Comune di Montefiorino,0
Montefiorino,0
Budawang National Park,0
Tewkesbury,0
Kikkan Randall,1
Ternaard,0
Comune di Montese,0
Montese,0
Jouswier,0
Dino 308/208 GT4 2+2,0
Ferrari 308/208 GT4,0
Ferrari P4/5 by Pininfarina,0
Ferrari P4/5,0
Goole,0
Cumana railway,0
Hiaure,0
Crion,0
Jessica Diggins,1
Ferret Scout Car,0
Niawier,0
Haussonville,0
Waaxens,0
Les Baroches,0
Foudgum,0
Azelot,0
Raard,0
Biville,0
King,0
Oosternijkerk,0
Pallanne,0
John Jenkins,1
Wetsens,0
Gradskovo,0
Fertőendréd,0
Fertőhomok,0
Boulazac,0
Engwierum,0
Herbert Greenfield,1
Family name: Zhu (朱),1
Given name: Houzhao (厚照),1
Marker,0
Hansjörg Wyss,0
Nes,0
Venerable Yasa,1
Nonantola,0
Fertőszéplak,0
Fertőszentmiklós,0
Leiderdorp,0
Buddha and the Chocolate Box,0
Comune di Novi di Modena,0
Novi di Modena,0
Patrick Walsh,1
Kemaliye,0
Jan Dara,0
Guns of the Magnificent Seven,0
Buddhadeb Bhattacharjee,1
Ordubad,0
Comune di Palagano,0
Palagano,0
Stephen Asa Northway,1
Khojavend,0
Martuni,0
Comune di Pavullo nel Frignano,0
Pavullo nel Frignano,0
Zhanaozen,0
Vlist,0
Cuves,0
Comune di Pievepelago,0
Pievepelago,0
Tuzluca,0
Hautteville-Bocage,0
Muradiye,0
Comune di Polinago,0
Polinago,0
Erlau,0
Laçın/Բերձոր Berdzor,0
Yehud,0
يهود,0
Comune di Prignano sulla Secchia,0
Prignano sulla Secchia,0
Hazore'a,0
Cavigny,0
Comune di Ravarino,0
Ravarino,0
Yifat,0
Geva,0
Couville,0
Piotr Trzaskalski,0
Cromford,0
The Buddhist Society,0
Comune di Riolunato,0
Riolunato,0
Sokal,0
Сокаль,0
Comune di San Cesario sul Panaro,0
San Cesario sul Panaro,0
Charles Christian Lauritsen,1
Beauficel,0
György Festetics,1
Toszek,0
Comune di San Felice sul Panaro,0
San Felice sul Panaro,0
"Snoqualmie, Washington",0
Count Sándor Festetics de Tolna,0
Barisey-au-Plain,0
Mrkonjić Grad,0
Мркоњић Град,0
Ramat Hovav,0
Belval,0
Milan Pacanda,1
Ein Carmel,0
Pulverbach,0
Sibbe,0
Golleville,0
Dalia,0
Comune di San Possidonio,0
San Possidonio,0
Gabon,0
Upton,0
Bolleville,0
Comune di San Prospero,0
San Prospero,0
Black Oak,0
Dangy,0
Cleveland Township,0
Fengxi County,0
Weizhou,0
威州,0
威州镇,0
Oud-Valkenburg,0
Rock Creek,0
West Flemish,0
"West-Vlams, West-Vloams",0
Comune di Savignano sul Panaro,0
Savignano sul Panaro,0
Gorkha Airlines,0
Dalby,0
Carantilly,0
Comune di Serramazzoni,0
Serramazzoni,0
Beslon,0
Battle of Novšiće,0
Killa Abdullah District,0
Fiad,0
Buddie Petit,1
Mordoğan,0
Angoville-sur-Ay,0
Comune di Sestola,0
Sestola,0
Chevry,0
Comune di Soliera,0
Soliera,0
Battle of Turckheim,0
Buddy,0
(The Buddy Holly Story),0
Comune di Spilamberto,0
Spilamberto,0
Baudreville,0
The Rat Saviour (Izbavitelj),0
Temirtau,0
Теміртау,0
Vaxholm,0
Buddy Baker,0
Buddy Banks,1
Comune di Vignola,0
Vignola,0
Gonneville,0
Houthem,0
Hilton Head Island,0
Comune di Zocca,0
Zocca,0
Víkar,0
Buddy Cage,1
Fontenay,0
Sollefteå,0
Lago di Posta Fibreno,0
Sir Fiatau Penitala Teo,1
Buddy Childers,1
Necromantia,0
Le Chefresne,0
Ádám Ficsor,1
Hedemora,0
"Leonard \""Buddy\"" Edelen",1
Buddy Emmons,1
Fidelitas,0
Buddy Giovinazzo,0
Family name: Zhu (朱; Chu in Wade-Giles spelling),1
Given name: Houcong (厚熜; Hou-tsung in Wade-Giles spelling),1
Jiajing Emperor,1
Prószków,0
Buddy Greco,1
Clitourps,0
Orzesze,0
Dziekanstwo,0
Dziekaństwo,0
Buddy Ebsen,0
Duszniki-Zdrój,0
Baubigny,0
Kurt Kreuger,0
Fieldy's Dreams,0
Szczawno-Zdrój,0
Waikouaiti,0
Kalety,0
Calcinate,0
Comune di Calcinate,0
Buddy Lester,0
Pszów,0
Buddy McGirt,1
James Walter McGirt,1
Fontenay-sur-Mer,0
Buddy Moreno,1
Ochodze,0
Ochotz,0
Buddy Knox,1
Fighting Fantasy,0
Buszkowice,0
Calcio,0
Comune di Calcio,0
City of Lauderhill,0
"Lauderhill, Florida",0
Breuville,0
Polnisch Neudorf,0
Polska Nowa Wieś,0
Les Champs-de-Losque,0
Buddy Morrow,1
Chmiellowitz,0
Chmielowice,0
Calusco d'Adda,0
Comune di Calusco d'Adda,0
László Filep,1
Ustroń,0
Brainville,0
Calvenzano,0
Comune di Calvenzano,0
Buddy Roberts,1
Dale Valentine,1
Dick Roberts,1
Gogolin,0
Dan Zimmerman,0
Buddy Starcher,1
Barenton,0
City of Kennesaw,0
Kennesaw,0
Filip Pajović,1
Filip Lăzăreanu,1
Syców,0
Buddy Rice,1
Pyskowice,0
Buddy Richard,1
Kapisillit,0
La Colombe,0
Mesencephalic nucleus of trigeminal nerve,0
nucleus mesencephalicus nervi trigemini,0
Baden-Wuerttemberg Cooperative State University Loerrach,0
Puerto Natales,0
Camerata Cornello,0
Comune di Camerata Cornello,0
Cool TV,0
Qassiarsuk,0
Canonica d'Adda,0
Comune di Canonica d'Adda,0
Siorapaluk,0
Buddy Van Horn,0
Glatigny,0
Budel,0
Capizzone,0
Comune di Capizzone,0
200px,0
Berg,0
Qianfnanf Buxqyaix ziqziqzouy,0
(Qiannan Buyei and Miao Autonomous Prefecture),0
Linxia Hui Autonomous Prefecture,0
Hardenberg,0
Qingyuan,0
Karl Theophil Fries,1
"Roseau, Minnesota",0
Capriate San Gervasio,0
Città di Capriate San Gervasio,0
Tamás Filó,1
Hårlev,0
"Stanton, North Dakota",0
Chanteloup,0
"Budget Rent a Car System, Inc.",0
Caprino Bergamasco,0
Comune di Caprino Bergamasco,0
Pétionville,0
Carneville,0
Final Attraction,0
"Ossipee, New Hampshire",0
Doville,0
Finch,0
"London, Ohio",0
Find My Baby,0
Auvers,0
Caravaggio,0
Città di Caravaggio,0
Raymond,0
Town of Raymond,0
Digosville,0
Smithton,0
Budiměřice,0
Finer Feelings,0
Montenegro,0
Agon-Coutainville,0
"Crown Heights, New York",0
Battle of Cape Finisterre,0
Ferenc Finkey,1
Lesidren,0
Лесидрен,0
Aumeville-Lestre,0
Finley,0
Budišov,0
Hans Bernhardt,1
Pease Pottage,0
Les Cresnays,0
Jeziorany,0
Budiš,0
Carobbio degli Angeli,0
Comune di Carobbio degli Angeli,0
Kampen,0
Budišov nad Budišovkou,0
Hallsberg,0
Budki,0
Ugartsthal,0
La Baleine,0
Budka Suflera,0
Sompolno,0
Carona,0
Comune di Carona,0
Houghton County Courthouse,0
Navojoa,0
Beaucoudray,0
Kosmas,0
Κοσμάς,0
Crosville-sur-Douve,0
Budleigh Salterton,0
Tropaia,0
Τρόπαια,0
Carvico,0
Comune di Carvico,0
Budokan: The Martial Spirit,0
Stomio,0
Στόμιο,0
Krokees,0
Κροκεές,0
Hambye,0
Saint Ignatius Loyola Church,0
Slovenský Grob,0
Keratsini,0
Κερατσίνι,0
Budowo,0
Tolofon,0
Τολοφών,0
Casazza,0
Comune di Casazza,0
Bailleul-aux-Cornailles,0
Raches,0
Ράχες,0
Fino,0
Budry,0
Zalewo,0
SD Budućnost,0
Sportsko društvo Budućnost Podgorica,0
Averdoingt,0
Domnista,0
Δομνίστα,0
Finsch's imperial pigeon,0
Limni,0
Λίμνη,0
Batz-sur-Mer,0
Budvar Arena,0
Thinali,0
Θινάλι,0
Finsch's francolin,0
Casirate d'Adda,0
Comune di Casirate d'Adda,0
Neoi Poroi,0
Νέοι Πόροι,0
La Bernerie-en-Retz,0
Okrzeszyn,0
Budweiser Events Center,0
Losser,0
Teplá,0
Alexander Finta,1
Tootsi,0
Aix-en-Issart,0
Joseph Bosch Building,0
Finčevec,0
Kornice,0
Casnigo,0
Comune di Casnigo,0
Kfar Szold,0
North Vancouver,0
The Corporation of the City of North Vancouver,0
Budzimskie,0
Cassiglio,0
Comune di Cassiglio,0
Calumet Fire Station,0
Budziszów,0
Světlá nad Sázavou,0
Tom Price,0
Direttissima Firenze-Roma,0
Budweiser Budvar Brewery (Budějovický Budvar),0
Faro,0
Budyně nad Ohří,0
Hantumeruitburen,0
Public Image: First Issue,0
Mátyás Firtl,1
Finch,0
Lightning Ridge,0
Leerbroek,0
Castel Rozzone,0
Comune di Castel Rozzone,0
College Club House and Gymnasium,0
First Strike Still Deadly,0
Battle of the Fischa,0
First Rays of the New Rising Sun,0
"Cherry Township, Minnesota",0
Arcaibh,0
Orkney,0
Senneville,0
Town of Wappinger,0
"Wappinger, New York",0
Castelli Calepio,0
Comune di Castelli Calepio,0
Marigny,0
Buell Kazee,1
Budča,0
Beauvoir,0
Fischer's turaco,0
"Celebration, Florida",0
Oldenzaal,0
Castione della Presolana,0
Comune di Castione della Presolana,0
"Union, Missouri",0
Lajos Fischer,1
"West Fargo, North Dakota",0
Béhagnies,0
"Medicine Lodge, Kansas",0
Buelles,0
"Holland, Michigan",0
Fisher,0
Bourthes,0
Buell Motorcycles,0
Robert Paul Theodor Kosch,1
"Town of Granby, Colorado",0
Donville-les-Bains,0
Buena Vista,0
Fist of Legend,0
Lilli Camille Schweiger,0
László Fitos,1
Fisterra,0
Tenala,0
Airel,0
Borough of Buena,0
"Buena, New Jersey",0
Moondram Pirai,0
Fityeház,0
Tsubasa Fukuchi,0
Buena Vista Township,0
Compañia de Mínas Buenaventura S.A.A.,0
Five,0
Makybe Diva,0
"Town of Buena Vista, Colorado",0
Buenavista Protected Landscape,0
Huyện Lập Thạch,0
Lập Thạch District,0
Olst-Wijhe,0
Huyện Phú Tân,0
Phú Tân District,0
Khúc Thừa Dụ,1
曲承裕,1
Hương Khê District,0
Huyện Hương Khê,0
Haines junction,0
Burwash Landing,0
Józef Potocki,1
Buenos Aires,0
Fixed,0
Günter Deckert,1
Bueng Kum,0
บึงกุ่ม,0
Gyokusen-ji,0
玉泉寺,0
Port Townsend,0
"Port Townsend, Washington",0
International Association of Physics Students,0
Darrous,0
دروس,0
François Bourguignon,1
Petalidi,0
Πεταλίδι,0
Ernst-Wilhelm Reinert,1
"Franklin, Missouri",0
Buenos Aires National Wildlife Refuge,0
Nea Kios,0
Νέα Κίος,0
Bueng Kan,0
บึงกาฬ,0
Chronicle of an Escape,0
Buenos Aires Herald,0
Douglass House,0
Takashi Saito,1
Taliouine,0
Huyện U Minh,0
U Minh District,0
Kalamos,0
Κάλαμος,0
Fyodorovsky District,0
Фёдоровский район,0
Ifrane,0
إفرا/ إفران,0
Cluj-Napoca,0
"Saco, Maine",0
Flaminio Avet,1
San Antonio de Palé,0
Ommen,0
Marsa Alam,0
Bulgartabac Holding Group AD,0
Buffalo Springs National Reserve,0
Flaming,0
Eksjö,0
Gétigné,0
Buff Bagwell,1
Christian,1
Fabulous Fabian,1
Marcus Alexander Bagwell,1
Marcus Bagwell,1
The Handsome Stranger,1
Masaya,0
Thumrait,0
Buffalo Bill State Park,0
Flashback,0
Flash,0
Buffalo Bill Dam,0
Buffalo Ridge,0
Castro,0
Comune di Castro,0
Melco Holdings Inc.,0
An t-Sròn Reamhar,0
Stranraer,0
Stranrawer,0
"Stenungsund, Sweden",0
Cavernago,0
Comune di Cavernago,0
San José de las Lajas,0
Oakham,0
Buffalo Bill and the Indians,0
Château-Thébaud,0
Albin,0
Toro Toro,0
Buffalo Boots GmbH,0
Conquereuil,0
Cazzano Sant'Andrea,0
Comune di Cazzano Sant'Andrea,0
Corcoué-sur-Logne,0
Haute-Goulaine,0
"Palca, Bolivia",0
Corsept,0
San Pedro de Buena Vista,0
Buffalo City Hall,0
Huachacalla,0
Wachaqalla,0
Abbaretz,0
Carabanchel,0
Buffalo Girls (1995 miniseries),0
Huanchaco,0
Buffalo Dance,0
"Flesh of My Flesh, Blood of My Blood",0
Toledo (Oruro),0
Cenate Sopra,0
Comune di Cenate Sopra,0
Raalte,0
Mohandas Gandhi,0
Buffalo Germans,0
Albas,0
Bagneux,0
La Rivera,0
Flex-Able Leftovers,0
Ministry of Industry and Information Technology of the People's Republic of China,0
Flex-Able,0
Santiago de Machaca,0
Ministry of Human Resources and Social Security of the People's Republic of China,0
Iron,0
Buffalo Lake,0
Landouzy-la-Ville,0
Viacha,0
Wiyacha,0
Filain,0
Buffalo,0
Saint-Frézal-de-Ventalon,0
Huacho,0
L'Escarène,0
Johann Jakob Eltz,0
Buffalo H,0
Buffalo River,0
Mzinyathi,0
Mézel,0
Buffalo River,0
"Buffelsrivier, Cwenqgcwe",0
Saint Mechtildis,1
Spangled drongo,0
Floored,0
Aboën,0
Totora,0
T'utura,0
Flogging a Dead Horse,0
El Torno (Santa Cruz),0
Marie Luise Droop,0
Lagunillas,0
Cairanne,0
El Carmen (Santa Cruz),0
"Buffalo Soapstone, Alaska",0
Hures-la-Parade,0
San Pedro Curahuara de Carangas,0
Quillacollo,0
Reillanne,0
Flores green pigeon,0
Saint-Bernard,0
Corque,0
Qhurqhi,0
Rijssen-Holten,0
Miracle at St. Anna,0
Buffalo Tom,0
Saint-Julien-des-Points,0
Santiago de Huari,0
Buffalo Soldiers,0
Jeancourt,0
Léim a' Mhadaidh,0
Limavadie,0
Limavady,0
Saint-Germain-de-Calberte,0
Deniliquin,0
Townsend,0
Sainte-Croix,0
Mottled duck,0
Lanark,0
Lannraig,0
Lanrik,0
Claudy,0
Clóidigh,0
or Claudy,0
Tha Strang-rinnin Wattèr,0
Corbières,0
Flower,0
Dunbar,0
Dùn Bàrr,0
Dunbaur,0
Floyd Co.,0
Carran,0
Otto Friedrich August Meinardus,0
Clive,0
Tenterfield,0
Buffalo '66,0
Southport,0
Buttevant,0
Jürgen W. Falter,1
Bosells,0
Cille Bhoisil,0
St Boswells,0
Coille Chreithnich,0
Killiecrankie,0
Fluvicola,0
Bufori Motor Car Company,0
Caseneuve,0
The Gathering Wilderness,0
Cala na Creige,0
Steenhive,0
Stonehaven,0
Stoney,0
Polini S.p.A.,0
John Foster McCreight,1
Cashel,0
Ozan,0
Middelburg,0
Mokošica,0
Virginia Beach Mariners,0
Virginia Beach Mariners Soccer Club,0
Flying Elephant,0
Donji Stepoš,0
Staphorst,0
BugMeNot,0
"16\""/50 caliber Mark 7 gun",0
"Buford, Georgia",0
Dedina,0
Susan Cummings,0
Aldina Reka,0
Municipality of Vipava,0
Občina Vipava,0
Milutinovac,0
Občina Podlehnik,0
Podlehnik,0
Duncan Haldane,1
Bug,0
Bugar,0
Janjina,0
Općina Janjina,0
Miloševo (Jagodina),0
Last Autumn's Dream,0
Donji Milanovac,0
Доњи Милановац,0
Dustin Hunter Johnson,1
Dustin Johnson,1
Doljane,0
Gábor Fodor,1
Steenwijkerland,0
Aldinac,0
István Fodor,1
Bukovica (Kruševac),0
Bulinovac,0
Nero Video,0
Lajos Fodor,1
Ladimirevci,0
Townshend Stith Brandegee,1
Omar Yusef Juma'a,0
Križpolje,0
Bugatti 16C Galibier,0
Jan Koemmet,1
Municipality of Majšperk,0
Občina Majšperk,0
Proconsul major,0
"Skowhegan, Maine",0
Andreas Wessels,1
"Stockbridge, New York",0
Bugatti Royale,0
Bugatti Type 41,0
Tubbergen,0
"Scio, New York",0
Meral Perin,0
"Wheatfield, New York",0
Comitatul Făgăraş,0
Comitatus Fogarasensis,0
Fogaras County,0
Fogaras,0
Fogaras vármegye,0
Komitat Fogarasch,0
"Tyre, New York",0
Făgăraș Citadel,0
Dryopithecus fontani,0
"New Harmony, Indiana",0
Závadka,0
"Lusk, Wyoming",0
Mandarin roll,0
Wolfgang Schäfer,0
Silvanidae,0
"Poughkeepsie, New York",0
Barbechat,0
Westhill,0
Mallacoota,0
Katalin Fogl,1
Bugatti Type 57,0
"Melcher-Dallas, Iowa",0
Dotted grouper,0
Wanted: Dead or Alive,0
"Lynnville, Iowa",0
Vincent Lange,1
"New Bern, North Carolina",0
What Remains of Us,0
Twenterand,0
"Fairfield, Ohio",0
Peter Vogel,0
It Wasn't Meant to Happen,0
Curepipe,0
Johann Nepomuk von Ringseis,0
Izbica Kujawska,0
Margaret of Foix,1
Karl Smidt,1
Calodendrum capense,0
Chimaltenango,0
Safita,0
Comarapa,0
Madalena,0
Cape sugarbird,0
Buginese People,0
(To Ugi),0
Cape shoveler,0
Cape cormorant,0
Tuluá,0
Babesia divergens,0
Koidu town,0
Makokou,0
Dębostrów,0
Cape crow or black crow,0
Psary,0
Parti Progresif Penduduk Malaysia,0
People's Progressive Party,0
人民進步黨,0
Lyski,0
Zhengzhou Metro,0
Wierden,0
Bugün,0
Pelechuco,0
Jiujiang Lushan Airport,0
Jiǔjiāng Lúshān Jīchǎng,0
Rudi Lorch,1
Emerald,0
Foktő,0
Wilhelm Riphahn,0
Saint-Pair-sur-Mer,0
"Greeneville, Tennessee",0
Town of Greeneville,0
Macroom,0
Lake Buhi,0
Rubio,0
Montmartin-sur-Mer,0
"Rhinelander, Wisconsin",0
RandR,0
"Whippany, New Jersey",0
La familia de Pascual Duarte,0
The Family of Pascal Duarte,0
Michael Heltau,0
Watsons Bay,0
Euvezin,0
Buhlau,0
Buława,0
Beauville,0
Wielichowo,0
Xie Shaoguang,1
Xiè Sháoguāng,1
謝韶光,1
谢韶光,1
Sombre pigeon,0
Flirey,0
Ingeborg von Kusserow,0
Poniec,0
Buharkent,0
Eydoche,0
Stawiszyn,0
Saint-Geoire-en-Valdaine,0
Werner Dahm,1
Creys-Mépieu,0
Trzemeszno,0
Romance of the Three Kingdoms XI,0
Simone Thomalla,0
Zwartewaterland,0
Buuhoodle,0
Bui National Park,0
Folyás,0
Mierzęcice,0
Battle of Dōmyōji,0
Schoorl,0
"Wien, Wisconsin",0
"Duluth Township, Minnesota",0
Bampaku-kinen-kōen,0
Lomas de Chapultepec,0
Alfonso Nieto,1
Buick Excelle,0
Portsalon,0
Fontana,0
Il-Fontana,0
Buick Electra Estate,0
Buick Estate Wagon,0
Buick LeSabre Estate,0
Buick Electra 225,0
Buick Electra,0
Laverton,0
La Verpillière,0
Buick GL8,0
Saint-Jean-de-Bournay,0
Buick Invicta,0
"Alpine, Alaska",0
Welcome to Pia Carrot 2.2,0
Welcome to Pia Carrot 2,0
Welcome to Pia Carrot 3.3,0
Welcome to Pia Carrot 3,0
Welcome to Pia Carrot,0
Fools Lullaby,0
Super Robot Wars J,0
For Aeons Past,0
Carrickmacross,0
For You I Will (Confidence),0
For You I Will,0
For The Lonely,0
Llannor,0
Janjanbureh,0
For Your Love,0
Posterior ethmoidal foramen,0
Type I Rifle,0
Llangollen,0
Mastoid foramen,0
Greater palatine foramen,0
Giovane Alves da Silva,1
Giovane,1
For Your Pleasure,0
Nzérékoré,0
Baarn,0
Cacheu,0
Buick Lucerne,0
Buick LeSabre,0
Llangefni,0
Administrative Region of Ceilândia,0
Ceilândia,0
Região Administrativa de Ceilândia,0
Shelley Duncan,1
Fomboni,0
Forcipulatida,0
Alnwick,0
Breweni,0
Paul,0
Port na h-Abhainne,0
Portnahaven,0
The Turning Point,0
Lannudhno,0
St Erth,0
Ford Prefect,0
Buick Park Avenue,0
Ivanjica,0
Ивањица,0
Buick Reatta,0
Buick Rainier,0
"Alford, Florida",0
Buick Rendezvous,0
Trey Hillman,1
Forever,0
"Cross City, Florida",0
De Baarsjes,0
Forever Changes,0
Municipality of Videm,0
Občina Videm,0
"Forever Living Products International, Inc.",0
Buick Sport Wagon,0
Financial District,0
Buick Regal,0
"Centerville, Ohio",0
Buick Skylark,0
Buick Somerset,0
Buick Somerset Regal,0
Ferenc Forgách,1
Goncelin,0
Buick Riviera,0
Edéa,0
Rives,0
András Forgács,1
"Sunland Park, New Mexico",0
Imre Forgács,1
Eybens,0
Stanislav Ledinek,0
Buick Wildcat,0
Masao Nakamura,1
"Vienna, Virginia",0
Geraldine,0
(Heratini  (Māori),0
Buick Terraza,0
Chonas-l'Amballan,0
Zdzieszowice,0
Dionay,0
Reinhold Rehs,1
Buick Y-Job,0
Buhid,0
Brézins,0
Arthur Kraußneck,0
Commelle,0
Miasteczko Krajeńskie,0
Formicarius,0
Culin,0
Patrick Kohlmann,1
Dizimieu,0
"Formspring, Inc.",0
Cessieu,0
Ross,0
Buiksloot,0
Chasselay,0
Formulas Fatal to the Flesh,0
Châbons,0
Brion,0
Brangues,0
Anna of Stolberg-Wernigerode,1
Bu-ikikaesu,0
